shape of p1 (99, 2)
shape of p2 (99, 2)
         101370 function calls (98468 primitive calls) in 0.202 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      401    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      556    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      740    0.000    0.000    0.000    0.000 _parser.py:233(__next)
     1062    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
  277/219    0.000    0.000    0.000    0.000 typing.py:1371(__hash__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
        2    0.000    0.000    0.000    0.000 enum.py:497(__new__)
      635    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
     1233    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      302    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
      476    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       39    0.000    0.000    0.000    0.000 typing.py:329(_flatten_literal_params)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 _datasource.py:431(exists)
       44    0.000    0.000    0.000    0.000 typing.py:1033(__typing_subst__)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       35    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
  529/435    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      378    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
        4    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
     1337    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
     1084    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      523    0.000    0.000    0.000    0.000 typing.py:1365(__eq__)
       44    0.000    0.000    0.000    0.000 enum.py:1509(__and__)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
      380    0.000    0.000    0.000    0.000 typing.py:159(_type_convert)
     1337    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
     1013    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       81    0.000    0.000    0.000    0.000 typing.py:921(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
      119    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
      119    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 __init__.py:178(sub)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1101    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      448    0.000    0.000    0.000    0.000 _parser.py:249(match)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       75    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
      320    0.000    0.000    0.000    0.000 _parser.py:172(append)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      969    0.000    0.000    0.000    0.000 typing.py:1358(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
      323    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
      654    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      302    0.000    0.000    0.000    0.000 _parser.py:160(__len__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        6    0.000    0.000    0.000    0.000 core.py:1146(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:2946(__new__)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       13    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
      225    0.000    0.000    0.000    0.000 _parser.py:286(tell)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
      224    0.000    0.000    0.000    0.000 typing.py:1664(__eq__)
       51    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      159    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
    35/15    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      312    0.000    0.000    0.000    0.000 typing.py:1699(__eq__)
       45    0.000    0.000    0.000    0.000 typing.py:289(_unpack_args)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
       57    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
